DT_REFER;DENOM_CIA;ESCALA_MOEDA;ORDEM_EXERC;CD_CONTA;DS_CONTA;VL_CONTA
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03.01.02;Tributos a Recolher;1194042.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03.01.02;Tributos a Recolher;804485.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03.02;Obrigaes Fiscais Estaduais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03.02;Obrigaes Fiscais Estaduais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.03.03;Obrigaes Fiscais Municipais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.03.03;Obrigaes Fiscais Municipais;0.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04;Emprôimos e Financiamentos;11628072.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04;Emprôimos e Financiamentos;8444527.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04.01;Emprôimos e Financiamentos;11312340.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04.01;Emprôimos e Financiamentos;6480743.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04.01.01;Em Moeda Nacional;7492285.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04.01.01;Em Moeda Nacional;6102722.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04.01.02;Em Moeda Estrangeira;3820055.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04.01.02;Em Moeda Estrangeira;378021.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04.02;Deb´ures;98411.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04.02;Deb´ures;1754010.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;PENŒTIMO;2.01.04.03;Financiamento por Arrendamento;217321.0000000000
2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;MIL;ŒTIMO;2.01.04.03;Financiamento por Arrendamento;209774.0000000000
